part,op1,op2,op3,op4,op5,ct_m1,ct_m2,ct_m3,ct_m4,ct_m5,weekly_qty
A Part,M1,M1,M3,M2,M2,4,5,6,14,20,20
B Part,M2,M1,M5,M1,M5,3,13,13,20,15,300
C Part,M4,M1,M1,M1,M2,17,9,18,1,4,22
D Part,M2,M5,M5,M1,M5,18,9,11,4,10,13
E Part,M2,M5,M4,M2,M4,14,6,15,1,9,222
F Part,M5,M3,M1,M2,M4,11,1,19,16,15,500
G Part,M3,M3,M2,M2,M3,17,19,8,15,20,600
H Part,M1,M1,M4,M1,M3,6,18,6,1,15,564
I Part,M3,M5,M3,M1,M4,2,15,19,13,10,365
J Part,M5,M1,M4,M1,M5,19,4,17,10,6,33
K Part,M3,M5,M3,M5,M2,6,8,18,1,18,125
L Part,M1,M1,M2,M3,M1,9,6,13,12,7,497
M Part,M2,M1,M4,M3,M4,16,6,17,12,9,582
N Part,M3,M2,M3,M3,M2,14,4,18,6,14,1647
O Part,M3,M1,M5,M2,M5,20,3,10,13,13,22
P Part,M2,M2,M4,M4,M3,15,17,9,17,6,136
R Part,M2,M5,M5,M4,M1,18,4,8,18,18,197
S Part,M1,M1,M5,M2,M2,15,5,15,10,14,153
T Part,M1,M5,M2,M5,M5,6,20,7,5,12,112
U Part,M1,M5,M3,M5,M2,16,17,20,16,7,119
V Part,M1,M3,M1,M2,M1,17,4,13,15,13,900
Y Part,M4,M3,M4,M3,M2,10,17,20,7,12,545
Z Part,M3,M3,M2,M3,M1,6,11,7,2,20,665
