station_id,batch_id,job_id,step_id,start_at,end_at,duration_min
M1,J1-B01,J1,R_J1-S1,2026-03-02T08:00:00,2026-03-02T08:10:00,10
M1,J2-B01,J2,R_J2-S1,2026-03-02T08:10:00,2026-03-02T08:22:00,12
M1,J1-B02,J1,R_J1-S1,2026-03-02T08:22:00,2026-03-02T08:32:00,10
M1,J2-B02,J2,R_J2-S1,2026-03-02T08:32:00,2026-03-02T08:44:00,12
M1,J1-B03,J1,R_J1-S1,2026-03-02T08:44:00,2026-03-02T08:54:00,10
M1,J2-B03,J2,R_J2-S1,2026-03-02T08:54:00,2026-03-02T09:06:00,12
M1,J1-B04,J1,R_J1-S1,2026-03-02T09:06:00,2026-03-02T09:16:00,10
M1,J2-B04,J2,R_J2-S1,2026-03-02T09:16:00,2026-03-02T09:28:00,12
M1,J1-B05,J1,R_J1-S1,2026-03-02T09:28:00,2026-03-02T09:38:00,10
M1,J2-B05,J2,R_J2-S1,2026-03-02T09:38:00,2026-03-02T09:50:00,12
M1,J1-B06,J1,R_J1-S1,2026-03-02T09:50:00,2026-03-02T10:00:00,10
M1,J2-B06,J2,R_J2-S1,2026-03-02T10:00:00,2026-03-02T10:12:00,12
M2,J1-B01,J1,R_J1-S2,2026-03-02T10:10:00,2026-03-02T15:13:00,303
M1,J1-B07,J1,R_J1-S1,2026-03-02T10:12:00,2026-03-02T10:22:00,10
M1,J1-B08,J1,R_J1-S1,2026-03-02T10:22:00,2026-03-02T10:32:00,10
M2,J1-B02,J1,R_J1-S2,2026-03-02T15:13:00,2026-03-02T20:16:00,303
M3,J1-B01,J1,R_J1-S3,2026-03-02T15:15:00,2026-03-02T15:33:00,18
QC,J1-B01,J1,R_J1-S4,2026-03-02T15:33:00,2026-03-02T15:38:00,5
M3,J2-B01,J2,R_J2-S2,2026-03-02T15:33:00,2026-03-02T15:48:00,15
QC,J2-B01,J2,R_J2-S3,2026-03-02T15:48:00,2026-03-02T15:52:00,4
M2,J1-B03,J1,R_J1-S2,2026-03-02T20:16:00,2026-03-03T01:19:00,303
M3,J1-B02,J1,R_J1-S3,2026-03-02T20:18:00,2026-03-02T20:36:00,18
QC,J1-B02,J1,R_J1-S4,2026-03-02T20:36:00,2026-03-02T20:41:00,5
M3,J2-B02,J2,R_J2-S2,2026-03-02T20:36:00,2026-03-02T20:51:00,15
QC,J2-B02,J2,R_J2-S3,2026-03-02T20:51:00,2026-03-02T20:55:00,4
M2,J1-B04,J1,R_J1-S2,2026-03-03T01:19:00,2026-03-03T06:22:00,303
M3,J1-B03,J1,R_J1-S3,2026-03-03T01:21:00,2026-03-03T01:39:00,18
QC,J1-B03,J1,R_J1-S4,2026-03-03T01:39:00,2026-03-03T01:44:00,5
M3,J2-B03,J2,R_J2-S2,2026-03-03T01:39:00,2026-03-03T01:54:00,15
QC,J2-B03,J2,R_J2-S3,2026-03-03T01:54:00,2026-03-03T01:58:00,4
M2,J1-B05,J1,R_J1-S2,2026-03-03T06:22:00,2026-03-03T11:25:00,303
M3,J1-B04,J1,R_J1-S3,2026-03-03T06:24:00,2026-03-03T06:42:00,18
QC,J1-B04,J1,R_J1-S4,2026-03-03T06:42:00,2026-03-03T06:47:00,5
M3,J2-B04,J2,R_J2-S2,2026-03-03T06:42:00,2026-03-03T06:57:00,15
QC,J2-B04,J2,R_J2-S3,2026-03-03T06:57:00,2026-03-03T07:01:00,4
M2,J1-B06,J1,R_J1-S2,2026-03-03T11:25:00,2026-03-03T16:28:00,303
M3,J1-B05,J1,R_J1-S3,2026-03-03T11:27:00,2026-03-03T11:45:00,18
QC,J1-B05,J1,R_J1-S4,2026-03-03T11:45:00,2026-03-03T11:50:00,5
M3,J2-B05,J2,R_J2-S2,2026-03-03T11:45:00,2026-03-03T12:00:00,15
QC,J2-B05,J2,R_J2-S3,2026-03-03T12:00:00,2026-03-03T12:04:00,4
M2,J1-B07,J1,R_J1-S2,2026-03-03T16:28:00,2026-03-03T21:31:00,303
M3,J1-B06,J1,R_J1-S3,2026-03-03T16:30:00,2026-03-03T16:48:00,18
QC,J1-B06,J1,R_J1-S4,2026-03-03T16:48:00,2026-03-03T16:53:00,5
M3,J2-B06,J2,R_J2-S2,2026-03-03T16:48:00,2026-03-03T17:03:00,15
QC,J2-B06,J2,R_J2-S3,2026-03-03T17:03:00,2026-03-03T17:07:00,4
M2,J1-B08,J1,R_J1-S2,2026-03-03T21:31:00,2026-03-04T02:34:00,303
M3,J1-B07,J1,R_J1-S3,2026-03-03T21:33:00,2026-03-03T21:51:00,18
QC,J1-B07,J1,R_J1-S4,2026-03-03T21:51:00,2026-03-03T21:56:00,5
M3,J1-B08,J1,R_J1-S3,2026-03-04T02:36:00,2026-03-04T02:54:00,18
QC,J1-B08,J1,R_J1-S4,2026-03-04T02:54:00,2026-03-04T02:59:00,5
